scope,model,N,ECE,equal_mass_ECE,Brier,macro_ECE,weighted_ECE,worst_cat_ECE,macro_Brier,worst_cat_Brier,worst_cat_calib_gap,worst_cat_SEA,between_group_SEA_var,PVC_VUS,CPVC_VUS,PM_CPVC_VUS
cross3,Bespoke-Stratos-7B,840,0.35541666666666655,0.3526785714285715,0.3718686904761905,0.35351388888888896,0.3620833333333333,0.5041666666666665,0.3650902380952381,0.4794791666666667,0.4645833333333333,0.4166666666666667,0.004785318641345429,5.333333333333328,3.5394666666666637,0.0
cross3,Claude 3.5 Haiku,840,0.4342261904761905,0.4342261904761907,0.44018702380952385,0.4470863095238095,0.43720238095238095,0.6516666666666666,0.44926516865079374,0.6301166666666667,0.6516666666666666,0.2916666666666667,0.009085362733056185,4.639999999999994,2.6654333333333318,0.0
cross3,DeepSeek-R1-Distill-Qwen-7B,840,0.33922619047619024,0.33779761904761907,0.35875892857142855,0.3498065476190476,0.3468452380952381,0.5666666666666667,0.3605076884920635,0.5277083333333333,0.5333333333333334,0.2916666666666667,0.014703266723356007,5.096666666666663,3.489349999999998,0.06955310048951117
cross3,JiuZhang3.0-7B,840,0.20958333333333332,0.21196428571428574,0.21496726190476192,0.22241071428571432,0.2135119047619047,0.54375,0.22250248015873017,0.5255208333333333,0.54375,0.2708333333333333,0.005503226174729152,4.793333333333329,3.844299999999997,0.009368686868686877
cross3,Llama-3.1-8B-Instruct,840,0.37077380952380967,0.37017857142857163,0.3941160714285714,0.3961656746031746,0.37482142857142864,0.7208333333333333,0.41085342261904767,0.6727083333333335,0.7208333333333334,0.16666666666666666,0.016028468679138323,4.549999999999996,2.918883333333332,0.0
cross3,Ministral-8B-Instruct-2410,840,0.40357142857142847,0.4035714285714288,0.4142202380952381,0.4094494047619047,0.41047619047619044,0.6895833333333331,0.4129506448412699,0.6561458333333333,0.6770833333333334,0.25,0.008600668855505167,4.876666666666662,3.000033333333331,0.0
cross3,Open-Reasoner-Zero-7B,840,0.3570238095238094,0.3570238095238096,0.37339285714285714,0.3543353174603175,0.3611904761904762,0.5145833333333332,0.36870982142857145,0.4994791666666667,0.4895833333333333,0.4166666666666667,0.006831931846812798,5.289999999999995,3.506099999999997,0.020656387222156503
cross3,OpenThinker2-7B,840,0.34858333333333313,0.3485833333333334,0.3608170238095238,0.37486111111111103,0.3619166666666666,0.5808333333333332,0.373184126984127,0.57505,0.5808333333333332,0.375,0.0075671488213340885,5.369999999999994,3.4990666666666645,0.0017160737812911744
cross3,Qwen2.5-32B-Instruct,840,0.2525952380952378,0.2514285714285714,0.2968064285714286,0.2527470238095238,0.25854761904761897,0.44999999999999996,0.29355407738095235,0.45999999999999996,0.4499999999999999,0.4583333333333333,0.00610751881771227,5.989999999999992,4.584249999999996,0.19779405560405763
cross3,Qwen2.5-7B,840,0.3167261904761905,0.3145833333333334,0.3396339285714286,0.3183333333333333,0.31875,0.44375000000000014,0.3405753968253968,0.4415625,0.4437499999999999,0.4583333333333333,0.00676698269006677,5.3899999999999935,3.76483333333333,0.06238340202246515
cross3,Qwen2.5-7B-Instruct,840,0.2979047619047617,0.2979047619047618,0.33148547619047614,0.2915674603174603,0.3006428571428571,0.4916666666666666,0.32507212301587296,0.49333333333333335,0.49166666666666653,0.4166666666666667,0.009904494205089443,5.606666666666661,4.08323333333333,0.16763685266209938
cross3,Qwen2.5-Math-7B-Instruct,840,0.33085035714285704,0.32965988095238097,0.3503897315357143,0.3557256349206349,0.345255119047619,0.5791666666666666,0.3585549599126984,0.5528125,0.5791666666666666,0.2708333333333333,0.00943207317649282,4.703333333333329,3.2029999999999976,0.0023120915032679695
cross3,s1.1-7B,840,0.2911904761904762,0.2911904761904762,0.3195540476190476,0.2874305555555555,0.2966666666666667,0.5,0.31293644841269835,0.488125,0.49999999999999994,0.4166666666666667,0.00859871769888511,5.833333333333325,4.27288333333333,0.11926533419659933
Math360,Bespoke-Stratos-7B,360,0.39052777777777764,0.38775000000000004,0.3989824999999999,0.3963611111111114,0.3963611111111114,0.4662222222222223,0.3989825,0.4642311111111111,0.4595555555555558,0.4888888888888889,0.00197530864197531,4.44,2.7344,0.0
Math360,Claude 3.5 Haiku,360,0.39599999999999996,0.396,0.4038744444444445,0.39766666666666695,0.39766666666666695,0.5231111111111112,0.4038744444444444,0.5166177777777778,0.5231111111111115,0.4222222222222222,0.005856481481481482,4.430000000000001,2.7207000000000003,0.0
Math360,DeepSeek-R1-Distill-Qwen-7B,360,0.33194444444444454,0.32944444444444454,0.3517638888888889,0.3350000000000001,0.3350000000000001,0.42666666666666675,0.3517638888888889,0.43455555555555564,0.42666666666666697,0.5111111111111111,0.004843750000000003,4.7700000000000005,3.2424999999999997,0.0
Math360,JiuZhang3.0-7B,360,0.17402777777777784,0.17680555555555555,0.18482638888888886,0.17791666666666667,0.17791666666666667,0.2633333333333334,0.18482638888888886,0.26694444444444443,0.2633333333333332,0.5333333333333333,0.0007098765432098774,4.49,3.7405,0.020217171717171738
Math360,Llama-3.1-8B-Instruct,360,0.28722222222222227,0.2841666666666667,0.32716666666666666,0.2894444444444444,0.2894444444444444,0.42666666666666664,0.32716666666666666,0.43900000000000006,0.42666666666666675,0.4666666666666667,0.005401234567901233,4.840000000000001,3.5105500000000007,0.0
Math360,Ministral-8B-Instruct-2410,360,0.41375000000000006,0.41375000000000006,0.4192986111111111,0.4145833333333334,0.4145833333333334,0.51,0.41929861111111116,0.506388888888889,0.5100000000000002,0.4222222222222222,0.003796296296296294,4.21,2.4961,0.0
Math360,Open-Reasoner-Zero-7B,360,0.3877777777777778,0.3877777777777778,0.39212500000000006,0.38861111111111124,0.38861111111111124,0.4633333333333335,0.39212500000000006,0.4677222222222222,0.46333333333333354,0.4888888888888889,0.001597222222222222,4.520000000000001,2.7814999999999994,0.0
Math360,OpenThinker2-7B,360,0.3045833333333334,0.2981944444444445,0.3113486111111111,0.3101388888888889,0.3101388888888889,0.3800000000000001,0.3113486111111111,0.3774133333333332,0.3799999999999999,0.5888888888888889,0.0030227623456790123,5.1899999999999995,3.6754000000000002,0.005148221343873523
Math360,Qwen2.5-32B-Instruct,360,0.2799722222222222,0.2764166666666667,0.30981583333333335,0.28174999999999994,0.28174999999999994,0.32177777777777783,0.3098158333333333,0.35022666666666663,0.32177777777777805,0.5777777777777777,0.001597222222222223,5.09,3.6937000000000006,0.0
Math360,Qwen2.5-7B,360,0.32041666666666685,0.3204166666666667,0.33586805555555554,0.3204166666666667,0.3204166666666667,0.3666666666666668,0.33586805555555554,0.3737222222222223,0.3666666666666668,0.5555555555555556,0.0028935185185185192,4.78,3.2725000000000004,0.0
Math360,Qwen2.5-7B-Instruct,360,0.33694444444444427,0.33694444444444455,0.3571388888888889,0.3369444444444445,0.3369444444444445,0.4622222222222222,0.3571388888888889,0.4643333333333335,0.46222222222222253,0.4444444444444444,0.006597222222222225,4.65,3.1261,0.0
Math360,Qwen2.5-Math-7B-Instruct,360,0.29559527777777783,0.29809527777777783,0.31772881802777775,0.3033730555555555,0.3033730555555555,0.40365111111111107,0.3177288180277778,0.40344165533333337,0.35444444444444445,0.4666666666666667,0.0029012345679012338,4.32,3.1008,0.0
Math360,s1.1-7B,360,0.3308333333333335,0.33083333333333337,0.3460244444444444,0.3336111111111112,0.3336111111111112,0.41777777777777786,0.34602444444444447,0.42055555555555557,0.417777777777778,0.5111111111111111,0.0051523919753086464,4.759999999999999,3.22465,0.0
TruthfulQA,Bespoke-Stratos-7B,240,0.3262083333333332,0.3149583333333333,0.35114708333333333,0.33245833333333324,0.33245833333333324,0.5041666666666665,0.35114708333333333,0.4794791666666667,0.4645833333333333,0.4166666666666667,0.007708333333333331,5.669999999999991,3.9466999999999963,0.0
TruthfulQA,Claude 3.5 Haiku,240,0.4162083333333333,0.41620833333333324,0.42690208333333335,0.4199583333333332,0.4199583333333332,0.6245833333333332,0.42690208333333335,0.5948041666666667,0.6245833333333335,0.2916666666666667,0.006961805555555556,5.149999999999992,3.0739999999999963,0.0
TruthfulQA,DeepSeek-R1-Distill-Qwen-7B,240,0.3616666666666667,0.3583333333333333,0.3803125,0.3729166666666666,0.3729166666666667,0.5666666666666667,0.3803125,0.5277083333333333,0.5333333333333334,0.2916666666666667,0.018750000000000003,5.009999999999994,3.3951999999999978,0.07468565011886455
TruthfulQA,JiuZhang3.0-7B,240,0.3175,0.3091666666666667,0.31650000000000006,0.3195833333333333,0.31958333333333333,0.54375,0.31649999999999995,0.5255208333333333,0.54375,0.2708333333333333,0.0060590277777777795,4.549999999999993,3.220949999999996,0.0
TruthfulQA,Llama-3.1-8B-Instruct,240,0.46520833333333333,0.46187500000000015,0.46767708333333335,0.47020833333333345,0.47020833333333334,0.7208333333333333,0.46767708333333335,0.6727083333333335,0.7208333333333334,0.16666666666666666,0.020989583333333332,4.129999999999997,2.4437999999999995,0.0
TruthfulQA,Ministral-8B-Instruct-2410,240,0.4552083333333332,0.4527083333333333,0.45944791666666673,0.45854166666666674,0.4585416666666667,0.6895833333333331,0.4594479166666667,0.6561458333333333,0.6770833333333334,0.25,0.01215277777777778,4.609999999999995,2.6497499999999983,0.0
TruthfulQA,Open-Reasoner-Zero-7B,240,0.340625,0.34062500000000007,0.36311458333333335,0.3427083333333333,0.34270833333333334,0.48749999999999993,0.3631145833333333,0.47020833333333334,0.4875000000000001,0.4166666666666667,0.010225694444444444,5.469999999999992,3.7126999999999963,0.06196916166646951
