model,N_clean,removed,gold_sel_acc,sel50,hc_err09,ECE
JiuZhang3.0-7B,61,4,0.4098360655737705,0.4,0.5833333333333333,0.28442622950819674
Qwen2.5-Math-7B-Instruct,39,4,0.5384615384615384,0.55,,0.038461538461538436
Llama-3.1-8B-Instruct,50,3,0.54,0.48,0.5,0.35899999999999993
Qwen2.5-7B-Instruct,68,3,0.5588235294117647,0.5882352941176471,0.42105263157894735,0.34191176470588247
Ministral-8B-Instruct-2410,23,1,0.5652173913043478,0.5,0.40909090909090906,0.3869565217391302
Qwen2.5-7B,76,1,0.5789473684210527,0.5263157894736842,0.38888888888888884,0.3315789473684211
Open-Reasoner-Zero-7B,35,3,0.6857142857142857,0.7222222222222222,0.33333333333333337,0.2785714285714286
