quantity,mean,ci_lo,ci_hi,frac_direction
HC_Err@0.9_diff_JZ_minus_Q32B,0.061,-0.0037,0.1314,0.964
Utility@0.9_lam1_diff_JZ_minus_Q32B,-0.0628,-0.1286,0.0,0.975
