scope,model,N,SEA,AURC,E_AURC,sel_acc@cov0.2,sel_acc@cov0.5,sel_acc@cov0.8,cov@thr0.8,acc@thr0.8,hc_err@thr0.8,cov@thr0.9,acc@thr0.9,hc_err@thr0.9,cov@thr0.95,acc@thr0.95,hc_err@thr0.95,util@thr0.9_lam1,util@thr0.9_lam2,worst_cat_sel_acc@cov0.5
cross3,Bespoke-Stratos-7B,840,0.5678571428571428,0.4371404837603834,0.32633983449917353,0.5416666666666666,0.5547619047619048,0.5788690476190477,0.9809523809523809,0.566747572815534,0.433252427184466,0.7488095238095238,0.575516693163752,0.424483306836248,0.7119047619047619,0.5785953177257525,0.42140468227424754,0.1130952380952381,-0.20476190476190476,0.3333333333333333
cross3,Claude 3.5 Haiku,840,0.5071428571428571,0.45243904735689267,0.3039130827357315,0.5892857142857143,0.530952380952381,0.49702380952380953,1.0,0.5071428571428571,0.4928571428571429,0.9583333333333334,0.5031055900621118,0.49689440993788825,0.844047619047619,0.4936530324400564,0.5063469675599436,0.005952380952380952,-0.47023809523809523,0.25
cross3,DeepSeek-R1-Distill-Qwen-7B,840,0.5553571428571429,0.42833568420501666,0.3100902971498726,0.5833333333333334,0.5761904761904761,0.5639880952380952,0.919047619047619,0.5621761658031088,0.4378238341968912,0.6261904761904762,0.5722433460076045,0.4277566539923955,0.5630952380952381,0.5708245243128964,0.42917547568710357,0.09047619047619047,-0.1773809523809524,0.16666666666666666
cross3,JiuZhang3.0-7B,840,0.5226190476190476,0.4492290192871701,0.2541023433862831,0.5952380952380952,0.5535714285714286,0.5282738095238095,0.4773809523809524,0.5586034912718204,0.4413965087281796,0.4595238095238095,0.5673575129533679,0.4326424870466321,0.3904761904761905,0.551829268292683,0.448170731707317,0.06190476190476191,-0.13690476190476192,0.16666666666666666
cross3,Llama-3.1-8B-Instruct,840,0.5107142857142857,0.4908412022371128,0.34472755576342706,0.4642857142857143,0.5023809523809524,0.5,0.9857142857142858,0.5108695652173914,0.48913043478260865,0.7011904761904761,0.48896434634974534,0.5110356536502547,0.1773809523809524,0.4563758389261745,0.5436241610738255,-0.015476190476190477,-0.3738095238095238,0.08333333333333333
cross3,Ministral-8B-Instruct-2410,840,0.5226190476190476,0.46710164894322026,0.3288496562702944,0.5476190476190477,0.5,0.5178571428571429,0.9904761904761905,0.5240384615384616,0.47596153846153844,0.8916666666666667,0.5166889185580774,0.4833110814419226,0.5726190476190476,0.5155925155925156,0.4844074844074844,0.02976190476190476,-0.4011904761904762,0.16666666666666666
cross3,Open-Reasoner-Zero-7B,840,0.5654761904761905,0.42434174335775643,0.31218875055536277,0.5892857142857143,0.5833333333333334,0.5788690476190477,0.9880952380952381,0.5674698795180723,0.43253012048192774,0.8,0.5788690476190477,0.42113095238095233,0.5892857142857143,0.5656565656565656,0.43434343434343436,0.1261904761904762,-0.21071428571428572,0.3333333333333333
cross3,OpenThinker2-7B,840,0.5892857142857143,0.36541216090475287,0.26606769246284834,0.6904761904761905,0.6285714285714286,0.5997023809523809,0.9404761904761905,0.5936708860759494,0.4063291139240506,0.8869047619047619,0.5959731543624162,0.40402684563758384,0.8690476190476191,0.5972602739726027,0.40273972602739727,0.17023809523809524,-0.1880952380952381,0.25
cross3,Qwen2.5-32B-Instruct,840,0.6404761904761904,0.36844367992415766,0.2942798749203265,0.6309523809523809,0.638095238095238,0.6354166666666666,0.9857142857142858,0.6388888888888888,0.36111111111111116,0.4857142857142857,0.6274509803921569,0.37254901960784315,0.37023809523809526,0.6237942122186495,0.3762057877813505,0.12380952380952381,-0.05714285714285714,0.3333333333333333
cross3,Qwen2.5-7B,840,0.5803571428571429,0.3695712116749387,0.2657047966188657,0.6964285714285714,0.611904761904762,0.5877976190476191,0.9809523809523809,0.5837378640776699,0.4162621359223301,0.669047619047619,0.603202846975089,0.39679715302491103,0.33690476190476193,0.6219081272084805,0.37809187279151946,0.1380952380952381,-0.12738095238095237,0.4166666666666667
cross3,Qwen2.5-7B-Instruct,840,0.5964285714285714,0.40554810828724686,0.31020858249134137,0.5892857142857143,0.5904761904761905,0.5877976190476191,0.9928571428571429,0.5983213429256595,0.4016786570743405,0.5023809523809524,0.590047393364929,0.40995260663507105,0.4023809523809524,0.5976331360946746,0.4023668639053254,0.09047619047619047,-0.11547619047619048,0.3333333333333333
cross3,Qwen2.5-Math-7B-Instruct,840,0.5107142857142857,0.4928144251706657,0.341689365117851,0.47023809523809523,0.5261904761904762,0.5104166666666666,0.8107142857142857,0.5110132158590308,0.4889867841409692,0.5392857142857143,0.5231788079470199,0.4768211920529801,0.325,0.4835164835164835,0.5164835164835164,0.025,-0.23214285714285715,0.25
cross3,s1.1-7B,840,0.6178571428571429,0.3617578951997551,0.2771109932701641,0.625,0.65,0.6205357142857143,0.9714285714285714,0.6225490196078431,0.37745098039215685,0.6857142857142857,0.6284722222222222,0.3715277777777778,0.5833333333333334,0.6408163265306123,0.35918367346938773,0.1761904761904762,-0.07857142857142857,0.4166666666666667
Math360,Bespoke-Stratos-7B,360,0.5555555555555556,0.45178296245753136,0.33388746536121194,0.5,0.55,0.5486111111111112,0.9916666666666667,0.5546218487394958,0.4453781512605042,0.9444444444444444,0.55,0.44999999999999996,0.9361111111111111,0.5489614243323442,0.4510385756676558,0.09444444444444444,-0.33055555555555555,0.45454545454545453
Math360,Claude 3.5 Haiku,360,0.5527777777777778,0.4213240050635681,0.30178881878606356,0.5416666666666666,0.5777777777777777,0.5625,1.0,0.5527777777777778,0.4472222222222222,0.9916666666666667,0.5518207282913166,0.44817927170868344,0.9666666666666667,0.5517241379310345,0.4482758620689655,0.10277777777777777,-0.3416666666666667,0.5
Math360,DeepSeek-R1-Distill-Qwen-7B,360,0.5958333333333333,0.41762318639837903,0.32189699334019295,0.5416666666666666,0.5944444444444444,0.5902777777777778,0.9722222222222222,0.5971428571428572,0.4028571428571428,0.8305555555555556,0.5886287625418061,0.41137123745819393,0.7916666666666666,0.5894736842105263,0.41052631578947374,0.14722222222222223,-0.19444444444444445,0.36363636363636365
Math360,JiuZhang3.0-7B,360,0.5611111111111111,0.41638952551087693,0.2492196591523756,0.5694444444444444,0.6222222222222222,0.578125,0.475,0.631578947368421,0.368421052631579,0.4666666666666667,0.6369047619047619,0.36309523809523814,0.4222222222222222,0.631578947368421,0.368421052631579,0.12777777777777777,-0.041666666666666664,0.5454545454545454
Math360,Llama-3.1-8B-Instruct,360,0.6055555555555555,0.4284799293831678,0.337788255092935,0.5555555555555556,0.5777777777777777,0.59375,0.9888888888888889,0.6039325842696629,0.3960674157303371,0.7361111111111112,0.5886792452830188,0.41132075471698115,0.2222222222222222,0.5375,0.4625,0.13055555555555556,-0.17222222222222222,0.36363636363636365
Math360,Ministral-8B-Instruct-2410,360,0.5277777777777778,0.44078892992584984,0.30585978739703285,0.6111111111111112,0.5277777777777778,0.5277777777777778,0.9944444444444445,0.5307262569832403,0.4692737430167597,0.9638888888888889,0.5331412103746398,0.4668587896253602,0.7361111111111112,0.5245283018867924,0.47547169811320755,0.06388888888888888,-0.3861111111111111,0.36363636363636365
Math360,Open-Reasoner-Zero-7B,360,0.5638888888888889,0.4219301333059551,0.3088706461315083,0.625,0.5888888888888889,0.5729166666666666,0.9944444444444445,0.5670391061452514,0.43296089385474856,0.9611111111111111,0.5780346820809249,0.4219653179190751,0.9194444444444444,0.5861027190332326,0.41389728096676737,0.15,-0.25555555555555554,0.45454545454545453
Math360,OpenThinker2-7B,360,0.6486111111111111,0.3161335615613978,0.24511339058957535,0.6666666666666666,0.6944444444444444,0.6631944444444444,0.9305555555555556,0.6567164179104478,0.34328358208955223,0.925,0.6546546546546547,0.34534534534534533,0.9055555555555556,0.656441717791411,0.34355828220858897,0.2861111111111111,-0.03333333333333333,0.45454545454545453
Math360,Qwen2.5-32B-Instruct,360,0.6361111111111111,0.3696082374091312,0.29348518474430063,0.6527777777777778,0.6333333333333333,0.6354166666666666,0.9888888888888889,0.6348314606741573,0.3651685393258427,0.6916666666666667,0.6305220883534136,0.3694779116465864,0.575,0.6376811594202898,0.3623188405797102,0.18055555555555555,-0.075,0.5454545454545454
Math360,Qwen2.5-7B,360,0.5972222222222222,0.3272505714027971,0.2323212382489599,0.7222222222222222,0.6611111111111111,0.6319444444444444,0.9916666666666667,0.6022408963585434,0.3977591036414566,0.8138888888888889,0.6313993174061433,0.3686006825938567,0.48055555555555557,0.6763005780346821,0.32369942196531787,0.21388888888888888,-0.08611111111111111,0.5454545454545454
Math360,Qwen2.5-7B-Instruct,360,0.5805555555555556,0.40565207571172124,0.3018969319557512,0.6388888888888888,0.6,0.5798611111111112,0.9944444444444445,0.5837988826815642,0.4162011173184358,0.7388888888888889,0.5827067669172933,0.4172932330827067,0.6333333333333333,0.5921052631578947,0.4078947368421053,0.12222222222222222,-0.18611111111111112,0.4090909090909091
