dataset,model,N_exactly_one,PM_CPVC_VUS_exactly_one_gold,PM_CPVC_VUS_full_judge,ECE_exactly_one_gold
Math500,JiuZhang3.0-7B,65,0.0,0.23428400203167998,0.2823076923076923
Math500,Llama-3.1-8B-Instruct,53,0.04072666095215565,0.0,0.37169811320754725
Math500,Qwen2.5-7B,77,0.648858278442545,0.0,0.33961038961038975
Math500,Qwen2.5-7B-Instruct,71,0.3105682483964629,0.0,0.33943661971830996
Math500,Qwen2.5-Math-7B-Instruct,43,0.0,0.0,0.05813953488372092
